Trainer,Distance,Wins,Starts,Places,WinRate
廖康銘,1200,7,46,16,15.2
蘇偉賢,1200,5,37,9,13.5
伍鵬志,1400,4,16,7,25.0
巫偉傑,1200,4,36,8,11.1
文家良,1200,3,28,3,10.7
賀賢,1200,3,36,8,8.3
方嘉柏,1650,3,9,4,33.3
姚本輝,1200,3,36,15,8.3
蔡約翰,1200,3,41,13,7.3
呂健威,1200,3,36,11,8.3
大衛希斯,1200,3,45,9,6.7
丁冠豪,1400,2,11,3,18.2
伍鵬志,1600,2,4,3,50.0
巫偉傑,1000,2,12,3,16.7
羅富全,1000,2,11,2,18.2
沈集成,1400,2,16,2,12.5
游達榮,1200,2,18,3,11.1
方嘉柏,1000,2,10,4,20.0
沈集成,1200,2,31,6,6.5
姚本輝,1400,2,11,6,18.2
徐雨石,1000,2,2,2,100.0
黎昭昇,1000,2,10,4,20.0
鄭俊偉,1200,2,22,6,9.1
蘇偉賢,1400,2,14,2,14.3
羅富全,1200,2,37,6,5.4
丁冠豪,1200,1,18,5,5.6
丁冠豪,1000,1,5,1,20.0
呂健威,1800,1,1,1,100.0
大衛希斯,1400,1,13,4,7.7
告東尼,1200,1,26,4,3.8
告東尼,1650,1,14,2,7.1
呂健威,1400,1,16,4,6.2
告東尼,1400,1,13,2,7.7
呂健威,1650,1,4,1,25.0
伍鵬志,1200,1,29,5,3.4
葉楚航,1000,1,15,2,6.7
羅富全,1650,1,7,3,14.3
葉楚航,1400,1,10,1,10.0
葉楚航,1200,1,21,4,4.8
蘇偉賢,1600,1,2,2,50.0
蔡約翰,1400,1,12,2,8.3
蘇偉賢,1000,1,9,1,11.1
蔡約翰,1650,1,5,1,20.0
廖康銘,1600,1,3,1,33.3
鄭俊偉,1650,1,4,2,25.0
韋達,1000,1,11,3,9.1
賀賢,1000,1,16,5,6.2
黎昭昇,1200,1,42,8,2.4
賀賢,1400,1,12,2,8.3
姚本輝,1650,1,9,3,11.1
大衛希斯,1650,1,6,5,16.7
文家良,1650,1,4,1,25.0
方嘉柏,1200,1,28,4,3.6
徐雨石,1800,1,1,1,100.0
文家良,1400,1,11,3,9.1
游達榮,1400,1,15,3,6.7
沈集成,1650,1,12,2,8.3
方嘉柏,1400,1,17,3,5.9
沈集成,2000,1,1,1,100.0
容天鵬,1200,1,21,1,4.8
布銘球,2400,1,1,1,100.0
中內田充正,2000,0,2,2,0.0
伍鵬志,1000,0,11,0,0.0
丁冠豪,1650,0,4,0,0.0
伊比軒,1600,0,1,0,0.0
呂健威,1000,0,9,0,0.0
吉村圭司,1200,0,1,0,0.0
大衛希斯,1600,0,1,1,0.0
大衛希斯,1000,0,14,2,0.0
堀宣行,1200,0,1,1,0.0
堀宣行,2000,0,1,1,0.0
國枝榮,2400,0,1,1,0.0
告東尼,1800,0,2,0,0.0
告東尼,1000,0,9,1,0.0
告東尼,1600,0,8,1,0.0
呂健威,1600,0,5,2,0.0
丁冠豪,1800,0,1,0,0.0
伍鵬志,1650,0,10,2,0.0
伍鵬志,1800,0,3,0,0.0
包義定,2000,0,1,0,0.0
伍鵬志,2000,0,2,0,0.0
容天鵬,1400,0,12,1,0.0
容天鵬,1000,0,5,0,0.0
徐雨石,1650,0,1,0,0.0
徐雨石,1400,0,5,0,0.0
徐雨石,1200,0,20,2,0.0
廖康銘,1800,0,1,0,0.0
廖康銘,1650,0,3,0,0.0
巫偉傑,1400,0,17,3,0.0
廖康銘,1000,0,8,1,0.0
廖康銘,1400,0,11,0,0.0
巫偉傑,1650,0,6,1,0.0
岳伯仁,2400,0,2,0,0.0
容天鵬,1800,0,1,0,0.0
岳伯仁,2000,0,2,0,0.0
姚本輝,1800,0,1,0,0.0
姚本輝,1000,0,9,0,0.0
姚本輝,1600,0,9,2,0.0
大衛希斯,1800,0,2,0,0.0
白祈達,1200,0,1,0,0.0
游達榮,2200,0,1,0,0.0
游達榮,1650,0,8,1,0.0
游達榮,1600,0,3,0,0.0
游孝廉,1600,0,1,0,0.0
游達榮,1000,0,5,1,0.0
沈集成,1800,0,2,0,0.0
活侯夫人及布特,1600,0,1,0,0.0
沈集成,1000,0,11,1,0.0
沈集成,1600,0,5,1,0.0
方嘉柏,1800,0,3,2,0.0
杉山晴紀,1200,0,1,0,0.0
杉山晴紀,1600,0,1,0,0.0
比安威詹 希斯,1600,0,1,0,0.0
池江泰壽,1600,0,1,1,0.0
池添學,2400,0,1,0,0.0
文家良,1600,0,3,0,0.0
文家良,1000,0,12,3,0.0
方嘉柏,1600,0,5,0,0.0
容天鵬,1650,0,6,0,0.0
容天鵬,1600,0,2,1,0.0
葉楚航,1800,0,2,0,0.0
葛威法,2000,0,1,0,0.0
范鴻禧,2000,0,1,0,0.0
羅富全,1400,0,11,4,0.0
蔡約翰,2000,0,1,0,0.0
葉楚航,1650,0,3,1,0.0
葉楚航,1600,0,5,0,0.0
菲德文及菲敦盟,2400,0,1,0,0.0
羅富全,1800,0,2,0,0.0
范景新,1600,0,1,0,0.0
羅富全,1600,0,6,2,0.0
蘇偉賢,1800,0,1,1,0.0
費伯華,2400,0,1,0,0.0
蘇偉賢,1650,0,3,0,0.0
藤原英昭,1200,0,1,0,0.0
蔡約翰,1600,0,4,0,0.0
蔡約翰,1000,0,11,2,0.0
賀賢,1800,0,2,1,0.0
賀賢,2000,0,1,0,0.0
鄭俊偉,1000,0,7,2,0.0
郗國思,2400,0,1,1,0.0
鄭俊偉,1600,0,2,0,0.0
鄭俊偉,1400,0,9,3,0.0
鄭俊偉,1800,0,1,0,0.0
雷拿及雷恩,2000,0,1,0,0.0
賀賢,1650,0,4,0,0.0
賀賢,1600,0,2,0,0.0
韋達,1200,0,36,6,0.0
雷里雅,1600,0,1,0,0.0
韋達,1400,0,12,1,0.0
韋達,1600,0,2,0,0.0
顧永賢,2400,0,1,0,0.0
馬晏殊,2000,0,1,0,0.0
韋達,1650,0,6,1,0.0
韋達,1800,0,2,0,0.0
高亮能,1600,0,1,0,0.0
馬漢雅,1200,0,1,0,0.0
高野友和,1600,0,1,0,0.0
高柳瑞樹,1200,0,1,0,0.0
黎昭昇,1400,0,6,0,0.0
黎昭昇,1600,0,2,0,0.0
黎昭昇,1650,0,2,1,0.0
黎昭昇,1800,0,1,0,0.0
