RaceClass,Venue,Track,Distance,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,沙田,Turf,1200,13,124,30,43.85,10.48,24.19
Class 4,沙田,Turf,1000,5,61,12,43.44,8.2,19.67
Class 3,沙田,Turf,1200,4,47,9,45.62,8.51,19.15
Class 3,沙田,Turf,1400,1,25,2,65.85,4.0,8.0
Class 3,沙田,Turf,1000,3,23,5,39.98,13.04,21.74
Class 4,沙田,Turf,1400,0,21,0,50.87,0.0,0.0
Class 4,跑馬地,Turf,1200,0,21,3,43.05,0.0,14.29
Class 3,跑馬地,Turf,1200,0,13,0,50.38,0.0,0.0
Griffin,沙田,Turf,1000,2,12,6,12.21,16.67,50.0
Class 3,跑馬地,Turf,1000,0,11,1,38.18,0.0,9.09
Class 4,跑馬地,Turf,1000,1,8,3,30.2,12.5,37.5
Class 3,沙田,Turf,1600,0,8,0,56.22,0.0,0.0
Group 1,沙田,Turf,2000,0,8,3,31.88,0.0,37.5
Class 4,沙田,AWT,1200,1,7,1,31.31,14.29,14.29
Class 2,沙田,Turf,1600,1,5,1,25.62,20.0,20.0
Group 1,沙田,Turf,2400,1,5,1,10.0,20.0,20.0
Class 3,沙田,AWT,1200,0,5,0,59.6,0.0,0.0
Group 1,沙田,Turf,1600,0,4,0,34.05,0.0,0.0
Class 3,跑馬地,Turf,1650,0,3,0,60.33,0.0,0.0
Group 1,沙田,Turf,1200,0,3,0,194.33,0.0,0.0
Class 3,沙田,Turf,1800,0,2,0,55.0,0.0,0.0
Class 4,沙田,Turf,1600,0,2,0,75.5,0.0,0.0
Class 4,跑馬地,Turf,1650,0,2,0,55.0,0.0,0.0
Class 2,沙田,Turf,1800,1,1,1,15.0,100.0,100.0
Class 2,沙田,Turf,1200,0,1,0,33.0,0.0,0.0
Class 2,沙田,Turf,1400,0,1,0,57.0,0.0,0.0
Class 2,沙田,Turf,2000,0,1,0,17.0,0.0,0.0
Class 2,跑馬地,Turf,1800,0,1,1,14.0,0.0,100.0
Class 3,沙田,AWT,1650,0,1,0,52.0,0.0,0.0
Class 4,沙田,AWT,1650,0,1,0,83.0,0.0,0.0
Class 4,沙田,Turf,1800,0,1,0,152.0,0.0,0.0
