Jockey,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
潘頓,30,125,62,-15.8,5.7,24.0,49.6,-12.6
潘明輝,10,99,22,127.3,39.9,10.1,22.2,128.6
布文,10,92,31,-35.2,20.6,10.9,33.7,-38.3
霍宏聲,10,88,19,75.10000000000001,31.0,11.4,21.6,85.3
何澤堯,9,82,21,-14.500000000000002,29.0,11.0,25.6,-17.7
田泰安,8,122,25,5.600000000000001,31.2,6.6,20.5,4.6
梁家俊,6,103,23,-10.0,41.7,5.8,22.3,-9.7
周俊樂,5,102,13,-64.6,51.0,4.9,12.7,-63.3
蔡明紹,5,91,17,-19.200000000000003,44.3,5.5,18.7,-21.1
艾道拿,5,92,23,-26.7,30.7,5.4,25.0,-29.0
希威森,5,101,15,-66.4,44.5,5.0,14.9,-65.7
楊明綸,4,75,13,-19.2,51.2,5.3,17.3,-25.6
奧爾民,4,32,7,86.8,57.4,12.5,21.9,271.2
班德禮,3,72,11,22.0,51.0,4.2,15.3,30.6
麥道朗,3,9,4,1.4000000000000004,11.9,33.3,44.4,15.6
艾兆禮,3,94,19,-60.1,30.0,3.2,20.2,-63.9
巴度,3,75,11,-56.7,44.8,4.0,14.7,-75.6
黃寶妮,2,26,3,59.0,33.9,7.7,11.5,226.9
袁幸堯,2,6,6,19.6,12.9,33.3,100.0,326.7
董明朗,2,39,3,-6.100000000000001,73.4,5.1,7.7,-15.6
鍾易禮,2,83,7,-36.8,54.7,2.4,8.4,-44.3
黃智弘,2,31,4,-9.6,35.1,6.5,12.9,-31.0
紀仁安,1,3,1,-0.2999999999999998,11.0,33.3,33.3,-10.0
金誠剛,1,15,1,-11.5,72.6,6.7,6.7,-76.7
麥文堅,1,6,1,29.0,41.6,16.7,16.7,483.3
莫雅,1,6,1,-4.3,30.6,16.7,16.7,-71.7
莫艾誠,1,6,1,6.0,113.0,16.7,16.7,100.0
溫蘿,0,1,0,-1.0,16.0,0.0,0.0,-100.0
湯普新,0,61,6,-61.0,77.9,0.0,9.8,-100.0
潘大衛,0,7,1,-7.0,50.6,0.0,14.3,-100.0
李慕華,0,4,1,-4.0,15.4,0.0,25.0,-100.0
杜苑欣,0,4,0,-4.0,32.2,0.0,0.0,-100.0
杜滿樂,0,2,0,-2.0,15.5,0.0,0.0,-100.0
柯浩新,0,1,0,-1.0,51.0,0.0,0.0,-100.0
橫山和生,0,1,1,-1.0,9.4,0.0,100.0,-100.0
巫顯東,0,23,2,-23.0,87.7,0.0,8.7,-100.0
川田將雅,0,3,1,-3.0,22.1,0.0,33.3,-100.0
司徒岳,0,1,0,-1.0,175.0,0.0,0.0,-100.0
三浦皇成,0,1,0,-1.0,69.0,0.0,0.0,-100.0
巴米高,0,1,0,-1.0,6.1,0.0,0.0,-100.0
布浩榮,0,2,0,-2.0,39.0,0.0,0.0,-100.0
菅原明良,0,1,0,-1.0,76.0,0.0,0.0,-100.0
范以誠,0,1,0,-1.0,82.0,0.0,0.0,-100.0
貝知仁,0,7,1,-7.0,48.6,0.0,14.3,-100.0
西村淳也,0,1,0,-1.0,32.0,0.0,0.0,-100.0
蘇銘倫,0,3,1,-3.0,11.0,0.0,33.3,-100.0
薛恩,0,4,0,-4.0,29.2,0.0,0.0,-100.0
薛凱華,0,3,0,-3.0,71.6,0.0,0.0,-100.0
羅敦,0,2,0,-2.0,46.0,0.0,0.0,-100.0
莫雷拉,0,7,4,-7.0,16.9,0.0,57.1,-100.0
賀銘年,0,34,2,-34.0,56.2,0.0,5.9,-100.0
韋紀力,0,3,0,-3.0,31.9,0.0,0.0,-100.0
陳嘉熙,0,7,3,-7.0,13.5,0.0,42.9,-100.0
連達文,0,2,1,-2.0,54.0,0.0,50.0,-100.0
郭立基,0,1,0,-1.0,34.0,0.0,0.0,-100.0
麥當能,0,5,0,-5.0,88.4,0.0,0.0,-100.0
高力德,0,1,0,-1.0,101.0,0.0,0.0,-100.0
馬昆,0,4,1,-4.0,38.0,0.0,25.0,-100.0
黎應揚,0,1,0,-1.0,106.0,0.0,0.0,-100.0
